"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"755","RT @FrontiersSA: In 2018, Dinani explored how African American students' faith develops through #edabroad experiences. Read this and more i…",FALSE,0,NA,2019-09-13 02:58:49,FALSE,NA,"1172343848917291008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","p25eddie",1,TRUE,FALSE,NA,NA
"756","Today I talked abt the need for us to keep an eye on buzzwords like #inclusion #equity #diversity bc #realtalk if w… https://t.co/xb8pHnqHb5",FALSE,3,NA,2019-09-13 02:58:42,TRUE,NA,"1172343818911223808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vrroanhorse",3,FALSE,FALSE,NA,NA
"757","RT @LiveCaptioners: @chrisholland on #diversity #inclusion in the #TechIndustry “Encouraging participation from attendees of all demographi…",FALSE,0,NA,2019-09-13 02:56:31,FALSE,NA,"1172343270195613696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saidshea",1,TRUE,FALSE,NA,NA
"758","RT @DruthersSearch: What can you do to help move the needle on #diversity &amp; #inclusion? Here are some great ideas thanks to @JdR_Tech. http…",FALSE,0,NA,2019-09-13 02:54:38,FALSE,NA,"1172342798890098688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hellooworldsite",1,TRUE,FALSE,NA,NA
"759","#TBT: ‘I AM’ (by Marty Gregoire) is a powerful disability poem. What do you think? https://t.co/SjIacE8woH…… https://t.co/X6raGATugg",FALSE,1,NA,2019-09-13 02:54:10,TRUE,NA,"1172342680447148032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","green4cp",0,FALSE,FALSE,NA,NA
"760","GirlScript Bangalore <U+0001F91D>DevFest Bangalore 2019. Who's up for some very thoughtful open sessions on Day 1?
<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F64B><U+0001F3FB><U+200D><U+2642><U+FE0F>… https://t.co/rcv5W2pDPZ",FALSE,9,NA,2019-09-13 02:50:23,TRUE,NA,"1172341726423289857",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GirlscriptBLR",0,FALSE,FALSE,NA,NA
"761","Aligning the organisation's purpose and the individual's.

Finding the lost link
https://t.co/boT6tpVTU8… https://t.co/GJJS7OOjKq",FALSE,2,NA,2019-09-13 02:49:10,TRUE,NA,"1172341421069594626",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JosephGhaly1",0,FALSE,FALSE,NA,NA
"762","RT @Paralympics: It's official! Here's your first look at the just announced Team @Citi comprised of 41 Para athletes from across the globe…",FALSE,0,NA,2019-09-13 02:43:07,FALSE,NA,"1172339897551638529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurinasafura1",153,TRUE,FALSE,NA,NA
"763","Excited for DevFest Bangalore 2019? So are we! Here are some interesting mobile development workshops on Day 1. Be… https://t.co/vv1FjsKdxX",FALSE,8,NA,2019-09-13 02:40:13,TRUE,NA,"1172339170355757062",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GirlscriptBLR",1,FALSE,FALSE,NA,NA
"764","Fabulous list of resources here! 
Because...
- Gender inequality affects men too!
- More men have positions of powe… https://t.co/N1RLWMQ098",FALSE,4,NA,2019-09-13 02:38:30,TRUE,NA,"1172338734970204160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aartideetoo",1,FALSE,FALSE,NA,NA
