"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"44","Commitment to #diversity &amp; #inclusion: Henkel Global Supply Chain in the Netherlands signed the ‘Charta Diversiteit… https://t.co/lcRrZ8l0KV",FALSE,0,NA,2019-09-13 12:07:01,TRUE,NA,"1172481808182722561",NA,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","Henkel",0,FALSE,FALSE,NA,NA
"45","IAM Platform Curated Tweet:

Kaltura Takes Action to Increase Female Leadership to 50% by 2024 – Yahoo Finance… https://t.co/w4S45cQWVi",FALSE,0,NA,2019-09-13 12:05:11,TRUE,NA,"1172481347442622467",NA,"<a href=""https://www.blog.iammarketingmedia.com"" rel=""nofollow"">IAMBLOG2TWITTER</a>","IAM__Network",0,FALSE,FALSE,NA,NA
"46","This Latina tech executive has some great advice on how to succeed on an irregular field in business.… https://t.co/BKbQCP9rbO",FALSE,0,NA,2019-09-13 12:05:01,TRUE,NA,"1172481306665594880",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","LSBowser",0,FALSE,FALSE,NA,NA
"47","Everyone you will ever meet knows something you don't.  #getcultured #diversity #differentisbeautiful… https://t.co/P1XWeSQj44",FALSE,0,NA,2019-09-13 12:01:48,TRUE,NA,"1172480497366261760",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","KLnovels",0,FALSE,FALSE,NA,NA
"48","Check out some of the #photos from #SBCS #students' recent #Marine &amp; #Animal #Diversity field module to #Millport,… https://t.co/1yMPZSneh8",FALSE,0,NA,2019-09-13 12:01:18,TRUE,NA,"1172480371302326273",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","QM_SBCS",0,FALSE,FALSE,NA,NA
"49","<U+272D><U+272D><U+272D><U+272D><U+272D><U+272D><U+272D><U+272D><U+272D>DIVERSITY AWARD<U+272D><U+272D><U+272D><U+272D><U+272D><U+272D><U+272D><U+272D><U+272D>

@red_ferries, thank you for sponsoring this category at the #MaritimeUKAwards th… https://t.co/mWJGIyd5m4",FALSE,0,NA,2019-09-13 12:01:18,TRUE,NA,"1172480369360297991",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","solentlep",0,FALSE,FALSE,NA,NA
"50","Jennifer Linstrom (Happy) 17 year old with Down syndrome who is a character inspired by the real life experience of… https://t.co/tEcBuf2ctw",FALSE,0,NA,2019-09-13 12:01:16,TRUE,NA,"1172480361915396096",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SeanAdelman",0,FALSE,FALSE,NA,NA
"51","*NEW PODCAST ALERT* Swag Bender 018 “Transforming and Liberating Youth w/Education”_guest Mwalimu Donkor Issa… https://t.co/SzCZsKiH0R",FALSE,1,NA,2019-09-13 12:01:13,TRUE,NA,"1172480348342632448",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","DarielDTHenry",0,FALSE,FALSE,NA,NA
"52","Join @raleighchamber and Fortune 1000 companies at 2019 #NHCC Carolinas Regional Forum in #Raleigh #Hispanic… https://t.co/WevtUA2Jtj",FALSE,0,NA,2019-09-13 12:01:09,TRUE,NA,"1172480331863285761",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","NHCCorg",0,FALSE,FALSE,NA,NA
"53","Do you really know the difference between diversity and inclusion? Check out TMI's webinars to learn about this and… https://t.co/1VMa1kANmv",FALSE,0,NA,2019-09-13 12:01:07,TRUE,NA,"1172480324435152896",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","tmi_consulting",0,FALSE,FALSE,NA,NA
